base,esquema,tipo,nombre
catastro_gdl,informix,SP,calc_dmulmpal_tpm
catastro_gdl,informix,SP,calc_dpp
catastro_gdl,informix,SP,calc_dpp_canctj
catastro_gdl,informix,SP,calc_dpp_cantjdesc
catastro_gdl,informix,SP,calc_dpp_rev
catastro_gdl,informix,SP,calc_dpp_tarjeta
catastro_gdl,informix,SP,calc_dpp_tjdescto
catastro_gdl,informix,SP,calc_dppban
catastro_gdl,informix,SP,calc_drecppp
catastro_gdl,informix,SP,calc_exentos
catastro_gdl,informix,SP,calc_factor90
catastro_gdl,informix,SP,calc_gasmul
catastro_gdl,informix,SP,calc_gasmul18
catastro_gdl,informix,SP,calc_gaspag
catastro_gdl,informix,SP,calc_gasreqmul
catastro_gdl,informix,SP,calc_impto
catastro_gdl,informix,SP,calc_impto_respaldo
catastro_gdl,informix,SP,calc_imptotasa
catastro_gdl,informix,SP,calc_imptotranspat
catastro_gdl,informix,SP,calc_mulgaslic1
catastro_gdl,informix,SP,calc_mult_rgos_trans
catastro_gdl,informix,SP,calc_mult_rgos_transb
catastro_gdl,informix,SP,calc_mult_rgos_transb1
catastro_gdl,informix,SP,calc_mult_rgos_transc
catastro_gdl,informix,SP,calc_recargosdift
catastro_gdl,informix,SP,calc_recforz
catastro_gdl,informix,SP,calc_recgos
catastro_gdl,informix,SP,calc_recgos
catastro_gdl,informix,SP,calc_recgos2022
catastro_gdl,informix,SP,calc_recgos_anual
catastro_gdl,informix,SP,calc_recgos_mult
catastro_gdl,informix,SP,calc_recgosreq
catastro_gdl,informix,SP,calc_recgosresol
catastro_gdl,informix,SP,calc_recgostmp
catastro_gdl,informix,SP,calc_recgosx
catastro_gdl,informix,SP,calc_rgos_trans_axo_ante
catastro_gdl,informix,SP,calc_saldos_lic_masivo
catastro_gdl,informix,SP,calc_sdobim
catastro_gdl,informix,SP,calc_sdobim_conv
catastro_gdl,informix,SP,calc_sdos
catastro_gdl,informix,SP,calc_sdos2010
catastro_gdl,informix,SP,calc_sdos_rev
catastro_gdl,informix,SP,calc_sdos_test_2022
catastro_gdl,informix,SP,calc_sdosa
catastro_gdl,informix,SP,calc_sdosax
catastro_gdl,informix,SP,calc_sdoslconv
catastro_gdl,informix,SP,calc_sdoslsr
catastro_gdl,informix,SP,calc_sdoslsrx
catastro_gdl,informix,SP,calc_sdoslx
catastro_gdl,informix,SP,calc_sdosx
catastro_gdl,informix,SP,calc_sdotot
catastro_gdl,informix,SP,calc_sdotot_test_2022
catastro_gdl,informix,SP,calcanun
catastro_gdl,informix,SP,calcanun1
catastro_gdl,informix,SP,calcdedu
catastro_gdl,informix,SP,calcdesctoleyrbos
catastro_gdl,informix,SP,calcimptotp
catastro_gdl,informix,SP,calculamulta
catastro_gdl,informix,SP,calles
catastro_gdl,informix,SP,cambiotipopredio
catastro_gdl,informix,SP,cambiotipopredio
catastro_gdl,informix,SP,canc_accesorios_conv
catastro_gdl,informix,SP,canc_auto_desctos_multas
catastro_gdl,informix,SP,canc_descpred
catastro_gdl,informix,SP,canc_descpred_2
catastro_gdl,informix,SP,canc_descrec
catastro_gdl,informix,SP,canc_dmulesp
catastro_gdl,informix,SP,canc_dmulmpal
catastro_gdl,informix,SP,canc_masiva_reqpre
catastro_gdl,informix,SP,canc_not_empresas
catastro_gdl,informix,SP,canc_otrospag
catastro_gdl,informix,SP,canc_pagdetsal
catastro_gdl,informix,SP,canc_pagdetsal_reg0
catastro_gdl,informix,SP,canc_pagdetsal_x
catastro_gdl,informix,SP,canc_pagdetsals
catastro_gdl,informix,SP,canc_pago
catastro_gdl,informix,SP,canc_pagosfavor
catastro_gdl,informix,SP,canc_pagreqlic
catastro_gdl,informix,SP,canc_plicencia
catastro_gdl,informix,SP,canc_reqpred
catastro_gdl,informix,SP,canc_reqpred1
catastro_gdl,informix,SP,cancel_req3_1_08
catastro_gdl,informix,SP,cancela
catastro_gdl,informix,SP,cargar_norequeribles
catastro_gdl,informix,SP,cargaravaluos2012
catastro_gdl,informix,SP,cargaravaluos2013
catastro_gdl,informix,SP,cargaravaluos2013_88
catastro_gdl,informix,SP,cargaravaluos2013glob
catastro_gdl,informix,SP,casovinculo
catastro_gdl,informix,SP,cdrcmd
catastro_gdl,informix,SP,cdrcmd
catastro_gdl,informix,SP,cdrcmd
catastro_gdl,informix,SP,cdrcmd
catastro_gdl,informix,SP,cdrcmd_get
catastro_gdl,informix,SP,cdrcmdfl
catastro_gdl,informix,SP,cdrcmdlv
catastro_gdl,informix,SP,cdrcmdproc
catastro_gdl,informix,SP,cdrgcdisp
catastro_gdl,informix,SP,ceros
catastro_gdl,informix,SP,chbarcode_711
catastro_gdl,informix,SP,chbarcode_sor
catastro_gdl,informix,SP,clientbinval_recv
catastro_gdl,informix,SP,clientbinval_send
catastro_gdl,informix,SP,clobexport
catastro_gdl,informix,SP,clobimport
catastro_gdl,informix,SP,clobinput
catastro_gdl,informix,SP,cloboutput
catastro_gdl,informix,SP,clobrecv
catastro_gdl,informix,SP,clobsend
catastro_gdl,informix,SP,collcast
catastro_gdl,informix,SP,collcast
catastro_gdl,informix,SP,collcast
catastro_gdl,informix,SP,collcast
catastro_gdl,informix,SP,collectionexport
catastro_gdl,informix,SP,collectionexport
catastro_gdl,informix,SP,collectionexport
catastro_gdl,informix,SP,collectionexport
catastro_gdl,informix,SP,collectionimport
catastro_gdl,informix,SP,collectioninput
catastro_gdl,informix,SP,collectionoutput
catastro_gdl,informix,SP,collectionoutput
catastro_gdl,informix,SP,collectionoutput
catastro_gdl,informix,SP,collectionoutput
catastro_gdl,informix,SP,collectionrecv
catastro_gdl,informix,SP,collectionsend
catastro_gdl,informix,SP,comb_aggrelem
catastro_gdl,informix,SP,comb_aggrelemc
catastro_gdl,informix,SP,comb_aggrschema
catastro_gdl,informix,SP,comb_aggrschemac
catastro_gdl,informix,SP,comb_aggrxml
catastro_gdl,informix,SP,comb_aggrxmlc
catastro_gdl,informix,SP,compare
catastro_gdl,informix,SP,compare
catastro_gdl,informix,SP,compare
catastro_gdl,informix,SP,comprobantes_2024_rangos
catastro_gdl,informix,SP,con16_detcont_03ex
catastro_gdl,informix,SP,con34_gcta_apl
catastro_gdl,informix,SP,conci_aprem_exter
catastro_gdl,informix,SP,cond01
catastro_gdl,informix,SP,cond011
catastro_gdl,informix,SP,cond02
catastro_gdl,informix,SP,condominio
catastro_gdl,informix,SP,congela_transmision
catastro_gdl,informix,SP,cons_desctoley
catastro_gdl,informix,SP,cons_licencia
catastro_gdl,informix,SP,cons_predio
catastro_gdl,informix,SP,conslic_web18
catastro_gdl,informix,SP,conslic_web18x
catastro_gdl,informix,SP,conslic_web2
catastro_gdl,informix,SP,conslic_web20
catastro_gdl,informix,SP,conslic_webx
catastro_gdl,informix,SP,const2005
catastro_gdl,informix,SP,const20051
catastro_gdl,informix,SP,const200511
catastro_gdl,informix,SP,const2005t
catastro_gdl,informix,SP,construc200511
catastro_gdl,informix,SP,consulta_articulos
catastro_gdl,informix,SP,consulta_cartapredial
catastro_gdl,informix,SP,consulta_foliotransm
catastro_gdl,informix,SP,conv_adeudos_detalle_12_tmp
catastro_gdl,informix,SP,conv_adeudos_detalle_12a
catastro_gdl,informix,SP,conv_licanun
catastro_gdl,informix,SP,convenios_predial_detalle
catastro_gdl,informix,SP,convenios_predial_tot
