base,esquema,tipo,nombre,base_destino_postgresql,esquema_destino,sin_destino,sistemas_uso
catastro_gdl,informix,SP,admsp_lic_cancpago,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admsp_lic_fecint,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admsp_lic_grales,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admsp_lic_internet,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admsp_lic_pago,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admsp_lic_pagoint,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admsp_lic_totales,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admsp_noadeudoca,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admsp_noadeudoco,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admsp_noadeudopg,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admsp_pagpred,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admsp_pagpredold,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admsp_totalespred,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admsp_totalestrans,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admsp_tp_actos2,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admsp_tp_baset,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admsp_tp_caltasa,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admsp_tp_caltrec,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admsp_tp_cons2,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admsp_tp_dedcble,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admsp_tp_plazo,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admsp_tp_tommy1,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admsp_tp_tommy11,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admsp_tp_tommy2,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admsp_transpatco,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admsp_transpatpg,padron_licencias,comun,NO,
catastro_gdl,informix,SP,afecta_gastostransm,padron_licencias,comun,NO,
catastro_gdl,informix,SP,agrega_ctrol,padron_licencias,comun,NO,
catastro_gdl,informix,SP,agrega_ctrol1,padron_licencias,comun,NO,
catastro_gdl,informix,SP,ajusta_cuenta,padron_licencias,comun,NO,
catastro_gdl,informix,SP,ajusta_cuenta_2023,padron_licencias,comun,NO,
catastro_gdl,informix,SP,ajusta_cuenta_2023_buenfin,padron_licencias,comun,NO,
catastro_gdl,informix,SP,ajusta_cuenta_anual,padron_licencias,comun,NO,
catastro_gdl,informix,SP,ajusta_electronicos,padron_licencias,comun,NO,
catastro_gdl,informix,SP,algo,padron_licencias,comun,NO,
catastro_gdl,informix,SP,algo1,multas_reglamentos,public,SI,multas_reglamentos
catastro_gdl,informix,SP,alta_linderos,padron_licencias,comun,NO,
catastro_gdl,informix,SP,ansicoltype,padron_licencias,comun,NO,
catastro_gdl,informix,SP,ansidatprec,padron_licencias,comun,NO,
catastro_gdl,informix,SP,ansimaxlen,padron_licencias,comun,NO,
catastro_gdl,informix,SP,ansinullable,padron_licencias,comun,NO,
catastro_gdl,informix,SP,ansinumprec,padron_licencias,comun,NO,
catastro_gdl,informix,SP,ansinumprecradix,padron_licencias,comun,NO,
catastro_gdl,informix,SP,ansinumscale,padron_licencias,comun,NO,
catastro_gdl,informix,SP,ansitabtype,padron_licencias,comun,NO,
catastro_gdl,informix,SP,anula_reqpred,padron_licencias,comun,NO,
catastro_gdl,informix,SP,arregla,padron_licencias,comun,NO,
catastro_gdl,informix,SP,asigna_folioscarta,padron_licencias,comun,NO,
catastro_gdl,informix,SP,assign,padron_licencias,comun,NO,
catastro_gdl,informix,SP,assign,padron_licencias,comun,NO,
catastro_gdl,informix,SP,assign,padron_licencias,comun,NO,
catastro_gdl,informix,SP,assign,padron_licencias,comun,NO,
catastro_gdl,informix,SP,assign,padron_licencias,comun,NO,
catastro_gdl,informix,SP,assign,padron_licencias,comun,NO,
catastro_gdl,informix,SP,assign,padron_licencias,comun,NO,
catastro_gdl,informix,SP,assign,padron_licencias,comun,NO,
catastro_gdl,informix,SP,assign,padron_licencias,comun,NO,
catastro_gdl,informix,SP,assign,padron_licencias,comun,NO,
catastro_gdl,informix,SP,audit_autori,padron_licencias,comun,NO,
catastro_gdl,informix,SP,b,padron_licencias,comun,NO,
catastro_gdl,informix,SP,banamexcaja,padron_licencias,comun,NO,
catastro_gdl,informix,SP,banco_transpatco,padron_licencias,comun,NO,
catastro_gdl,informix,SP,bancos01,padron_licencias,comun,NO,
catastro_gdl,informix,SP,bancos02,padron_licencias,comun,NO,
catastro_gdl,informix,SP,barcode_autoserv,padron_licencias,comun,NO,
catastro_gdl,informix,SP,barcode_autoserv,padron_licencias,comun,NO,
catastro_gdl,informix,SP,barcode_autoserv,padron_licencias,comun,NO,
catastro_gdl,informix,SP,barcode_dgv,padron_licencias,comun,NO,
catastro_gdl,informix,SP,barcode_dgv2017,padron_licencias,comun,NO,
catastro_gdl,informix,SP,barcode_dgv2018,padron_licencias,comun,NO,
catastro_gdl,informix,SP,barcode_dgv2019,padron_licencias,comun,NO,
catastro_gdl,informix,SP,barcode_dgvcajero,padron_licencias,comun,NO,
catastro_gdl,informix,SP,barcode_dgvoxxo,padron_licencias,comun,NO,
catastro_gdl,informix,SP,barcode_dgvx,padron_licencias,comun,NO,
catastro_gdl,informix,SP,barrido_actualizacion,padron_licencias,comun,NO,
catastro_gdl,informix,SP,barrido_detsal,padron_licencias,comun,NO,
catastro_gdl,informix,SP,bf2022_desc_manual,padron_licencias,comun,NO,
catastro_gdl,informix,SP,blobexport,padron_licencias,comun,NO,
catastro_gdl,informix,SP,blobimport,padron_licencias,comun,NO,
catastro_gdl,informix,SP,blobinput,padron_licencias,comun,NO,
catastro_gdl,informix,SP,bloboutput,padron_licencias,comun,NO,
catastro_gdl,informix,SP,blobrecv,padron_licencias,comun,NO,
catastro_gdl,informix,SP,blobsend,padron_licencias,comun,NO,
catastro_gdl,informix,SP,bloqueolic,padron_licencias,comun,NO,
catastro_gdl,informix,SP,bson_explain,padron_licencias,comun,NO,
catastro_gdl,informix,SP,bson_export_bin,padron_licencias,comun,NO,
catastro_gdl,informix,SP,bson_export_txt,padron_licencias,comun,NO,
catastro_gdl,informix,SP,bson_extract,padron_licencias,comun,NO,
catastro_gdl,informix,SP,bson_import_bin,padron_licencias,comun,NO,
catastro_gdl,informix,SP,bson_import_txt,padron_licencias,comun,NO,
catastro_gdl,informix,SP,bson_in,padron_licencias,comun,NO,
catastro_gdl,informix,SP,bson_out,padron_licencias,comun,NO,
catastro_gdl,informix,SP,bson_recv,padron_licencias,comun,NO,
catastro_gdl,informix,SP,bson_send,padron_licencias,comun,NO,
catastro_gdl,informix,SP,bson_valid,padron_licencias,comun,NO,
catastro_gdl,informix,SP,bytetoblob,padron_licencias,comun,NO,
catastro_gdl,informix,SP,bytetoblob,padron_licencias,comun,NO,
catastro_gdl,informix,SP,bytetoblob_pre1150,padron_licencias,comun,NO,
catastro_gdl,informix,SP,c_predial_kio,padron_licencias,comun,NO,
catastro_gdl,informix,SP,c_predial_kio1,padron_licencias,comun,NO,
catastro_gdl,informix,SP,c_predial1_web,padron_licencias,comun,NO,
catastro_gdl,informix,SP,c_predial1_web_rbo,padron_licencias,comun,NO,
catastro_gdl,informix,SP,c_predial1_web_rbo18,padron_licencias,comun,NO,
catastro_gdl,informix,SP,c_predial1_web17,padron_licencias,comun,NO,
catastro_gdl,informix,SP,c_predial1_web17x,padron_licencias,comun,NO,
catastro_gdl,informix,SP,c_predial1_web18,padron_licencias,comun,NO,
catastro_gdl,informix,SP,c_predial1_web18x,padron_licencias,comun,NO,
catastro_gdl,informix,SP,c_predial1_web19,padron_licencias,comun,NO,
catastro_gdl,informix,SP,c_predial1_web20,padron_licencias,comun,NO,
catastro_gdl,informix,SP,c_predial1_webbim,padron_licencias,comun,NO,
catastro_gdl,informix,SP,c_predial1_webdatos,padron_licencias,comun,NO,
catastro_gdl,informix,SP,c_predial1_webdatos2,padron_licencias,comun,NO,
catastro_gdl,informix,SP,c_predial1_webdatosx,padron_licencias,comun,NO,
catastro_gdl,informix,SP,c_predial1_webpr,padron_licencias,comun,NO,
catastro_gdl,informix,SP,c_predial1_webpru,padron_licencias,comun,NO,
catastro_gdl,informix,SP,c_predial1_webx,padron_licencias,comun,NO,
